Label,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh,dien_tt,lop12_matinh,truong_thpt,xlhv_1,xlhv_2,xlhv_3,xlhv_4,xlhv_5,xlhv_6,drl_1,drl_2,drl_3,drl_4,drl_5,drl_6,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,sotchk_1,sotchk_2,sotchk_3,sotchk_4,sotchk_5,sotchk_6
TreHan,1995.0,1.0,hồ chí minh,ktpm0001,cnpm,cqui,8.0,d480103,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Kha,Kha,Gioi,Xuat Sac,Kha,6.02,7.03,6.4,7.01,6.35,6.77,22.0,18.0,26.0,19.0,20.0,19.0
TreHan,1995.0,1.0,đồng tháp,httt0001,httt,cttt,8.0,d480104,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Gioi,Gioi,Kha,7.29,8.22,8.28,8.07,8.85,7.84,19.0,16.0,16.0,18.0,16.0,19.0
TreHan,1994.0,1.0,hà nam,khmt2013,khmt,cqui,8.0,d480101,thpt,48.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Trung Binh,Kha,Kha,Yeu,Kem,Kem,5.55,4.45,6.3,2.83,3.61,1.11,22.0,20.0,23.0,24.0,20.0,17.0
TreHan,1995.0,1.0,hồ chí minh,httt0001,httt,cttt,8.0,d480104,thpt,2.0,chuyên,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Gioi,Yeu,Trung Binh,Kha,Trung Binh,6.87,7.27,6.4,5.81,6.8,6.72,19.0,13.0,21.0,21.0,16.0,19.0
TreHan,1995.0,1.0,hồ chí minh,mmtt0001,mmt&tt,cqui,8.0,d480201,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Gioi,Gioi,Kha,Kha,6.73,6.52,7.35,6.7,8.07,8.22,22.0,21.0,24.0,20.0,15.0,17.0
TreHan,1995.0,0.0,hà tĩnh,ktpm0001,cnpm,cqui,8.0,d480103,thpt,30.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Kha,7.36,7.41,7.95,8.48,7.69,7.96,22.0,22.0,19.0,21.0,16.0,15.0
TreHan,1995.0,1.0,quảng ngãi,httt0001,httt,cqui,8.0,d480104,thpt,35.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Kha,Gioi,Trung Binh,Xuat Sac,Trung Binh,4.18,4.62,5.3,4.8,5.66,5.6,22.0,30.0,25.0,24.0,28.0,33.0
TreHan,1994.0,1.0,hồ chí minh,khmt0001,khmt,cqui,8.0,d480101,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Trung Binh,Gioi,Xuat Sac,Gioi,Trung Binh,Yeu,5.52,4.52,5.79,6.83,7.31,5.64,22.0,21.0,28.0,30.0,27.0,20.0
TreHan,1995.0,1.0,khánh hoà,mmtt0001,mmt&tt,cqui,8.0,d480102,thpt,41.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Kha,Kha,Trung Binh,Kha,7.41,5.87,6.26,7.47,7.29,6.69,22.0,19.0,23.0,19.0,21.0,25.0
DungHan,1995.0,1.0,cần thơ,mtcl2013,ktmt,clc,8.0,d520214,thpt,55.0,chuyên,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Kha,Gioi,Gioi,Kha,7.0,6.8,6.7,8.04,7.59,7.4,22.0,22.0,23.0,14.0,15.0,16.0
